ID,FormRE,Area,Height,Width,Direction,RoadInFront,Juridical,NumOfBed,Terrace,CarParking,DinningRoom,Kitchen,Price
8635,"Đất thổ cư, đất ở",132.0,30.0,4.1,Đông Bắc,3.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,2200000000.0
8636,Nhà hàng khách sạn,2.0,100.0,20.0,_,40.0,,150.0,True,True,True,True,250000000000.0
8637,"Đất thổ cư, đất ở",200.0,,8.4,_,12.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,24000000000.0
8638,Nhà hàng khách sạn,1.7,57.0,40.0,_,30.0,Sổ hồng/ Sổ đỏ,60.0,True,True,True,True,63500000000.0
8639,"Nhà, ngõ, hẻm",45.0,,4.5,_,6.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,9000000000.0
8640,"Nhà, ngõ, hẻm",35.0,,4.0,_,3.5,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,3900000000.0
8641,"Đất nền, đất liền kề, đất dự án",90.0,18.0,5.0,Nam,15.0,,,True,True,True,True,2100000000.0
8642,"Nhà, ngõ, hẻm",33.0,,4.5,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,2750000000.0
8643,"Nhà, ngõ, hẻm",30.0,,4.0,_,5.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2800000000.0
8644,"Nhà mặt phố, nhà mặt tiền",25.0,6.0,4.0,_,15.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,6400000000.0
8645,"Đất nền, đất liền kề, đất dự án",50.0,12.5,4.2,_,15.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,5600000000.0
8646,"Nhà mặt phố, nhà mặt tiền",56.0,12.0,5.0,_,20.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,36000000000.0
8647,"Đất thổ cư, đất ở",306.0,34.5,8.9,_,8.0,,,True,True,True,True,1600000000.0
8648,"Nhà mặt phố, nhà mặt tiền",127.0,,8.5,_,5.0,,1.0,True,True,True,True,24200000000.0
8649,"Nhà mặt phố, nhà mặt tiền",142.0,32.0,4.5,_,10.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,1650000000.0
8650,"Nhà, ngõ, hẻm",41.0,,4.0,_,3.0,Sổ hồng/ Sổ đỏ,8.0,True,True,True,True,6200000000.0
8651,"Nhà mặt phố, nhà mặt tiền",188.0,,6.3,_,20.0,,5.0,True,True,True,True,58000000000.0
8652,"Nhà mặt phố, nhà mặt tiền",50.0,9.0,6.5,_,3.0,,10.0,True,True,True,True,5000000000.0
8653,"Nhà mặt phố, nhà mặt tiền",64.0,16.0,4.0,_,5.0,Sổ hồng/ Sổ đỏ,7.0,True,True,True,True,28000000000.0
8654,"Nhà mặt phố, nhà mặt tiền",97.0,23.0,4.0,_,15.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,23500000000.0
8655,"Nhà mặt phố, nhà mặt tiền",1.2,37.0,20.0,_,20.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,400000000000.0
8656,"Nhà mặt phố, nhà mặt tiền",35.0,,5.8,_,3.0,,4.0,True,True,True,True,3600000000.0
8657,"Nhà mặt phố, nhà mặt tiền",2.266,44.0,52.0,_,30.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,285000000000.0
8658,"Nhà, ngõ, hẻm",110.0,19.0,5.0,_,6.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,18000000000.0
8659,"Đất thổ cư, đất ở",175.0,35.0,5.0,_,8.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1150000000.0
8660,"Đất thổ cư, đất ở",100.0,20.0,5.0,_,5.0,,,True,True,True,True,300000000.0
8661,"Đất thổ cư, đất ở",80.0,20.0,4.0,Đông Nam,4.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,2100000000.0
8662,"Đất nền, đất liền kề, đất dự án",96.0,12.0,8.0,_,30.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,3500000000.0
8663,"Nhà, ngõ, hẻm",45.0,,4.0,_,3.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,4650000000.0
8664,"Nhà, ngõ, hẻm",55.0,7.2,7.9,_,4.0,Sổ hồng/ Sổ đỏ,9.0,True,True,True,True,13750000000.0
8665,"Nhà mặt phố, nhà mặt tiền",25.0,5.0,5.0,_,5.0,Sổ hồng/ Sổ đỏ,7.0,True,True,True,True,37000000000.0
8666,"Nhà mặt phố, nhà mặt tiền",55.0,13.6,4.1,Đông Nam,50.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,22000000000.0
8667,"Nhà mặt phố, nhà mặt tiền",350.0,55.0,7.0,Tây,35.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,28900000000.0
8668,"Nhà, ngõ, hẻm",32.0,,3.8,_,3.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,3300000000.0
8669,"Đất thổ cư, đất ở",600.0,40.0,15.0,Nam,20.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,7800000000.0
8670,"Nhà mặt phố, nhà mặt tiền",968.0,21.5,8.0,_,20.0,,4.0,True,True,True,True,21000000000.0
8671,"Nhà mặt phố, nhà mặt tiền",143.0,26.0,5.44,Tây Bắc,18.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,7500000000.0
8672,"Đất nền, đất liền kề, đất dự án",100.0,20.0,5.0,_,12.0,,,True,True,True,True,3200000000.0
8673,"Đất nông, công, lâm nghiệp",1.5,100.0,15.0,Tây Nam,6.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1500000000.0
8674,"Nhà mặt phố, nhà mặt tiền",200.0,,8.0,_,40.0,Sổ hồng/ Sổ đỏ,10.0,True,True,True,True,62000000000.0
8675,"Nhà mặt phố, nhà mặt tiền",100.0,,6.0,_,20.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,12000000000.0
8676,Mặt bằng,4.743,210.0,13.0,Tây Bắc,27.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,11850000000.0
8677,"Nhà, ngõ, hẻm",85.0,17.0,5.0,_,4.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,4400000000.0
8678,"Biệt thự, nhà liền kề",130.0,,8.4,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,10000000000.0
8679,"Nhà, ngõ, hẻm",80.0,16.0,5.0,_,7.5,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,13000000000.0
8680,"Nhà mặt phố, nhà mặt tiền",27.0,6.0,4.5,_,5.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2630000000.0
8681,"Nhà, ngõ, hẻm",98.0,12.5,4.0,_,4.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,890000000.0
8682,"Biệt thự, nhà liền kề",390.0,26.0,15.0,Tây,10.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,21000000000.0
8683,"Nhà, ngõ, hẻm",240.0,40.0,6.0,_,6.0,,10.0,True,True,True,True,11500000000.0
8684,"Nhà, ngõ, hẻm",95.0,20.0,4.0,_,8.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,16700000000.0
8685,"Nhà mặt phố, nhà mặt tiền",40.0,,5.0,_,5.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,12000000000.0
8686,"Nhà, ngõ, hẻm",30.0,10.0,3.0,_,3.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,4500000000.0
8687,"Đất thổ cư, đất ở",200.0,20.0,10.0,_,8.0,,,True,True,True,True,650000000.0
8688,"Nhà mặt phố, nhà mặt tiền",40.0,,5.0,_,5.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,12000000000.0
8689,"Đất thổ cư, đất ở",192.0,12.0,8.0,_,6.0,,2.0,True,True,True,True,120000000.0
8690,"Nhà, ngõ, hẻm",56.0,14.0,4.0,_,3.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,2350000000.0
8691,"Nhà mặt phố, nhà mặt tiền",150.0,25.0,6.0,_,15.0,,2.0,True,True,True,True,17500000000.0
8692,"Nhà, ngõ, hẻm",35.0,,4.0,_,6.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2950000000.0
8693,"Đất thổ cư, đất ở",250.0,50.0,5.0,_,10.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1050000000.0
8694,"Đất thổ cư, đất ở",87.0,5.0,5.0,Đông,5.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,5200000000.0
8695,"Nhà mặt phố, nhà mặt tiền",66.0,16.2,4.0,_,20.0,,4.0,True,True,True,True,16000000000.0
8696,"Nhà mặt phố, nhà mặt tiền",60.0,14.0,4.3,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,5850000000.0
8697,"Nhà, ngõ, hẻm",40.0,8.0,5.0,_,7.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,6600000000.0
8698,"Nhà, ngõ, hẻm",42.0,,3.8,_,3.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,5800000000.0
8699,"Nhà, ngõ, hẻm",27.0,,8.3,_,3.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2370000000.0
8700,"Nhà mặt phố, nhà mặt tiền",239.0,19.0,12.6,_,12.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,95000000000.0
8701,"Đất thổ cư, đất ở",90.0,13.0,8.0,Đông Nam,3.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,2450000000.0
8702,"Đất thổ cư, đất ở",106.0,17.0,6.0,_,4.0,,,True,True,True,True,3920000000.0
8703,"Đất thổ cư, đất ở",92.0,14.5,6.5,_,3.5,Sổ hồng/ Sổ đỏ,,True,True,True,True,1290000000.0
8704,"Nhà mặt phố, nhà mặt tiền",32.0,8.0,4.0,_,5.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,2750000000.0
8705,"Đất thổ cư, đất ở",2.7,35.0,67.0,_,6.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,7290000000.0
8706,"Đất nền, đất liền kề, đất dự án",126.0,19.5,6.5,_,11.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,3030000000.0
8707,"Nhà, ngõ, hẻm",32.0,,4.2,_,2.5,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2980000000.0
8708,"Đất nền, đất liền kề, đất dự án",100.0,20.0,5.0,Bắc,7.5,Sổ hồng/ Sổ đỏ,,True,True,True,True,7500000000.0
8709,"Nhà mặt phố, nhà mặt tiền",199.0,23.0,8.0,_,40.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,72000000000.0
8710,"Đất thổ cư, đất ở",50.0,13.0,4.0,_,8.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,5000000000.0
8711,"Biệt thự, nhà liền kề",50.0,13.0,4.0,_,10.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,6000000000.0
8712,"Nhà mặt phố, nhà mặt tiền",50.0,13.0,4.0,_,15.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,10500000000.0
8713,"Nhà mặt phố, nhà mặt tiền",40.0,10.0,4.0,_,5.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,6700000000.0
8714,"Nhà mặt phố, nhà mặt tiền",240.0,15.0,4.5,_,10.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,5750000000.0
8715,"Nhà mặt phố, nhà mặt tiền",40.0,10.0,4.0,_,20.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,16800000000.0
8716,"Đất thổ cư, đất ở",200.0,40.0,5.0,_,16.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,790000000.0
8717,"Nhà mặt phố, nhà mặt tiền",45.0,12.0,4.0,_,8.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,8300000000.0
8718,"Nhà, ngõ, hẻm",90.0,,5.0,_,3.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,10500000000.0
8719,"Nhà, ngõ, hẻm",48.0,,4.0,_,3.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,3800000000.0
8720,"Đất thổ cư, đất ở",85.0,,7.0,_,9.0,Sổ hồng/ Sổ đỏ,15.0,True,True,True,True,14500000000.0
8721,"Nhà, ngõ, hẻm",85.0,,4.0,_,5.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,14000000000.0
8722,"Nhà, ngõ, hẻm",40.0,11.0,3.5,_,2.5,,3.0,True,True,True,True,3180000000.0
8723,"Biệt thự, nhà liền kề",98.0,,8.0,_,10.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,18500000000.0
8724,"Nhà, ngõ, hẻm",100.0,,9.0,_,6.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,7600000000.0
8725,"Biệt thự, nhà liền kề",310.0,10.0,33.0,_,15.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,48000000000.0
8726,"Nhà, ngõ, hẻm",33.0,10.0,3.5,_,5.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,3100000000.0
8727,"Biệt thự, nhà liền kề",450.0,19.0,24.0,_,10.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,48000000000.0
8728,"Nhà, ngõ, hẻm",33.0,10.0,3.5,_,5.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,2800000000.0
8729,"Nhà mặt phố, nhà mặt tiền",60.0,12.0,5.0,_,8.0,Sổ hồng/ Sổ đỏ,7.0,True,True,True,True,11500000000.0
8730,"Đất thổ cư, đất ở",122.0,24.5,5.0,Đông,9.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1950000000.0
8731,"Nhà mặt phố, nhà mặt tiền",114.0,33.0,3.5,_,50.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,15000000000.0
8732,"Nhà mặt phố, nhà mặt tiền",103.0,21.0,5.0,Nam,15.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,17800000000.0
8733,"Đất thổ cư, đất ở",79.0,18.0,4.5,_,15.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,10900000000.0
8734,"Nhà mặt phố, nhà mặt tiền",95.0,15.0,6.5,Nam,50.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,11875000000.0
8735,"Nhà mặt phố, nhà mặt tiền",100.0,19.0,5.5,_,20.0,Sổ hồng/ Sổ đỏ,9.0,True,True,True,True,39000000000.0
8736,"Nhà mặt phố, nhà mặt tiền",146.0,23.5,6.35,Đông Nam,34.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,31000000000.0
8737,"Nhà, ngõ, hẻm",30.0,,4.0,_,5.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,3750000000.0
8738,"Đất thổ cư, đất ở",145.0,20.8,7.0,Tây,11.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,3150000000.0
8739,"Nhà mặt phố, nhà mặt tiền",304.0,38.0,8.0,Bắc,34.0,Sổ hồng/ Sổ đỏ,8.0,True,True,True,True,8499000000.0
8740,"Nhà mặt phố, nhà mặt tiền",65.0,13.0,5.0,Bắc,6.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,2600000000.0
8741,"Nhà, ngõ, hẻm",78.0,,5.0,_,,Sổ hồng/ Sổ đỏ,,True,True,True,True,460000000.0
8742,"Nhà mặt phố, nhà mặt tiền",40.0,,4.0,_,15.0,,4.0,True,True,True,True,6950000000.0
8743,"Nhà, ngõ, hẻm",32.0,,4.1,_,2.5,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,3000000000.0
8744,"Nhà, ngõ, hẻm",20.0,7.0,3.3,Đông Nam,5.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,2800000000.0
8745,"Phòng trọ, nhà trọ",60.0,,13.0,Nam,3.0,Sổ hồng/ Sổ đỏ,16.0,True,True,True,True,7600000000.0
8746,"Nhà, ngõ, hẻm",100.0,11.0,9.0,_,4.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,8000000000.0
8747,"Nhà mặt phố, nhà mặt tiền",100.0,25.0,4.0,Đông Bắc,14.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,8600000000.0
8748,"Phòng trọ, nhà trọ",45.0,,4.0,Đông Bắc,3.0,Sổ hồng/ Sổ đỏ,9.0,True,True,True,True,4800000000.0
8749,"Đất thổ cư, đất ở",45.0,,4.5,_,15.0,Sổ hồng/ Sổ đỏ,1.0,True,True,True,True,3500000000.0
8750,"Căn hộ, chung cư",92.0,9.0,10.0,_,30.0,Giấy tờ hợp lệ,3.0,True,True,True,True,3000000000.0
8751,"Nhà, ngõ, hẻm",29.0,,3.5,_,2.5,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,2300000000.0
8752,"Đất thổ cư, đất ở",67.0,16.0,4.2,_,4.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1269000000.0
8753,"Nhà mặt phố, nhà mặt tiền",180.0,20.0,8.0,_,30.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,84000000000.0
8754,"Nhà, ngõ, hẻm",45.0,,4.0,_,4.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,3100000000.0
8755,"Đất thổ cư, đất ở",117.0,23.5,5.0,Đông Bắc,6.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1950000000.0
8756,"Biệt thự, nhà liền kề",110.0,,5.5,_,3.5,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,9700000000.0
8757,"Đất thổ cư, đất ở",135.0,27.0,5.0,Tây Nam,7.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1650000000.0
8758,"Nhà, ngõ, hẻm",40.0,14.0,3.0,_,3.0,,3.0,True,True,True,True,4000000000.0
8759,"Nhà mặt phố, nhà mặt tiền",85.0,15.0,6.2,_,20.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,30000000000.0
8760,"Nhà, ngõ, hẻm",33.0,,6.0,_,3.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,3100000000.0
8761,"Đất thổ cư, đất ở",180.0,18.0,10.0,Đông Nam,13.0,Giấy tờ hợp lệ,,True,True,True,True,8280000000.0
8762,"Nhà mặt phố, nhà mặt tiền",369.0,27.0,25.0,_,40.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,261000000000.0
8763,"Nhà, ngõ, hẻm",35.0,,3.4,_,3.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2700000000.0
8764,"Nhà, ngõ, hẻm",40.0,13.0,3.1,Nam,2.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,4700000000.0
8765,"Nhà mặt phố, nhà mặt tiền",65.0,17.0,3.9,_,5.0,Sổ hồng/ Sổ đỏ,12.0,True,True,True,True,8500000000.0
8766,"Nhà mặt phố, nhà mặt tiền",64.0,16.0,3.95,Đông Nam,4.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,7000000000.0
8767,"Nhà, ngõ, hẻm",108.0,18.0,6.0,Nam,7.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,19000000000.0
8768,"Đất thổ cư, đất ở",168.0,18.0,9.0,Đông Nam,12.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,1500000000.0
8769,"Phòng trọ, nhà trọ",70.0,,6.0,Đông,4.0,Sổ hồng/ Sổ đỏ,15.0,True,True,True,True,8980000000.0
8770,"Nhà mặt phố, nhà mặt tiền",131.0,27.0,5.0,Tây Nam,5.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,3700000000.0
8771,"Kho, xưởng",500.0,50.0,10.0,_,7.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,5700000000.0
8772,"Nhà mặt phố, nhà mặt tiền",158.0,,12.0,_,30.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,30000000000.0
8773,"Nhà mặt phố, nhà mặt tiền",90.0,,5.0,_,13.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,4300000000.0
8774,"Biệt thự, nhà liền kề",90.0,20.0,4.5,_,7.0,Sổ hồng/ Sổ đỏ,7.0,True,True,True,True,9500000000.0
8775,"Nhà mặt phố, nhà mặt tiền",75.0,,4.6,_,5.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,15000000000.0
8776,"Nhà, ngõ, hẻm",115.0,,8.0,_,8.0,Sổ hồng/ Sổ đỏ,16.0,True,True,True,True,28000000000.0
8777,"Đất thổ cư, đất ở",75.0,16.6,4.5,Tây Bắc,20.0,Giấy tờ hợp lệ,,True,True,True,True,3000000000.0
8778,"Nhà mặt phố, nhà mặt tiền",75.0,,4.5,_,30.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,48000000000.0
8779,"Nhà, ngõ, hẻm",51.0,14.1,3.6,_,3.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,3100000000.0
8780,"Nhà mặt phố, nhà mặt tiền",45.0,,7.0,_,24.0,,6.0,True,True,True,True,14000000000.0
8781,"Nhà mặt phố, nhà mặt tiền",72.0,,6.0,_,6.0,,4.0,True,True,True,True,13000000000.0
8782,"Đất thổ cư, đất ở",566.0,80.0,7.0,Đông Nam,12.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,680000000.0
8783,"Đất thổ cư, đất ở",100.0,,5.0,_,7.0,,,True,True,True,True,4650000000.0
8784,"Nhà, ngõ, hẻm",50.0,10.0,5.0,_,5.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,9200000000.0
8785,"Nhà, ngõ, hẻm",45.0,,4.0,_,4.0,,4.0,True,True,True,True,3350000000.0
8786,"Nhà mặt phố, nhà mặt tiền",75.0,,4.0,_,24.0,,6.0,True,True,True,True,10000000000.0
8787,"Nhà, ngõ, hẻm",50.0,9.0,5.2,_,8.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,7300000000.0
8788,"Nhà mặt phố, nhà mặt tiền",90.0,18.0,5.0,_,8.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,7100000000.0
8789,"Nhà mặt phố, nhà mặt tiền",1.612,50.0,32.0,_,20.0,,2.0,True,True,True,True,149500000000.0
8790,"Biệt thự, nhà liền kề",76.0,19.0,4.0,_,12.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,3150000000.0
8791,"Nhà, ngõ, hẻm",344.0,25.7,17.0,_,10.0,,5.0,True,True,True,True,160000000000.0
8792,"Đất nền, đất liền kề, đất dự án",96.0,19.0,5.0,Đông Bắc,30.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,2850000000.0
8793,"Đất nền, đất liền kề, đất dự án",88.0,22.0,4.5,Tây Bắc,15.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,6400000000.0
8794,"Nhà mặt phố, nhà mặt tiền",126.0,18.0,7.0,Nam,12.0,Giấy tờ hợp lệ,3.0,True,True,True,True,5400000000.0
8795,"Nhà, ngõ, hẻm",30.0,,4.5,_,2.5,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2950000000.0
8796,"Phòng trọ, nhà trọ",70.0,14.0,5.0,_,5.0,Sổ hồng/ Sổ đỏ,12.0,True,True,True,True,13500000000.0
8797,"Đất thổ cư, đất ở",80.0,16.0,5.0,_,10.0,,,True,True,True,True,4000000000.0
8798,"Nhà mặt phố, nhà mặt tiền",48.0,,3.7,_,4.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,6500000000.0
8799,"Nhà mặt phố, nhà mặt tiền",2.4,80.0,31.0,_,30.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,260000000000.0
8800,"Nhà mặt phố, nhà mặt tiền",97.0,,6.0,_,3.0,Sổ hồng/ Sổ đỏ,12.0,True,True,True,True,16000000000.0
8801,"Nhà, ngõ, hẻm",78.0,,6.0,_,4.0,,5.0,True,True,True,True,5100000000.0
8802,"Nhà mặt phố, nhà mặt tiền",102.0,,7.0,_,40.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,29000000000.0
8803,"Nhà mặt phố, nhà mặt tiền",80.0,,6.5,_,36.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,22700000000.0
8804,"Đất thổ cư, đất ở",90.0,12.0,7.6,Đông Nam,5.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,6500000000.0
8805,"Nhà, ngõ, hẻm",80.0,8.0,5.0,_,2.5,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,3090000000.0
8806,"Nhà, ngõ, hẻm",80.0,11.0,7.0,_,3.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,14800000000.0
8807,"Nhà mặt phố, nhà mặt tiền",52.0,13.0,4.0,_,10.0,Sổ hồng/ Sổ đỏ,2.0,True,True,True,True,12000000000.0
8808,"Nhà mặt phố, nhà mặt tiền",225.0,17.0,5.0,_,12.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,12000000000.0
8809,"Đất thổ cư, đất ở",57.0,14.0,4.0,Tây Nam,5.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,2850000000.0
8810,"Nhà mặt phố, nhà mặt tiền",90.0,,12.7,_,5.0,,19.0,True,True,True,True,22500000000.0
8811,"Đất nền, đất liền kề, đất dự án",108.0,19.7,5.5,_,13.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,705000000.0
8812,"Nhà, ngõ, hẻm",180.0,20.0,9.0,_,6.0,,5.0,True,True,True,True,35000000000.0
8813,"Nhà, ngõ, hẻm",85.0,15.0,5.5,_,4.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,3100000000.0
8814,"Đất thổ cư, đất ở",91.0,18.5,5.0,_,8.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,3150000000.0
8815,"Đất nền, đất liền kề, đất dự án",90.0,18.0,5.0,_,15.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,2000000000.0
8816,"Nhà, ngõ, hẻm",28.0,,3.3,_,3.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,2450000000.0
8817,"Đất thổ cư, đất ở",100.0,20.0,5.0,Đông,40.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,3199000000.0
8818,"Nhà mặt phố, nhà mặt tiền",68.0,,5.1,_,8.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,15800000000.0
8819,"Nhà mặt phố, nhà mặt tiền",70.0,,5.0,_,30.0,Sổ hồng/ Sổ đỏ,5.0,True,True,True,True,35000000000.0
8820,"Nhà mặt phố, nhà mặt tiền",105.0,21.0,5.3,_,14.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,8400000000.0
8821,"Nhà mặt phố, nhà mặt tiền",82.0,,5.5,_,12.0,Sổ hồng/ Sổ đỏ,8.0,True,True,True,True,16700000000.0
8822,"Đất nền, đất liền kề, đất dự án",95.0,19.0,5.0,_,14.0,Sổ hồng/ Sổ đỏ,,True,True,True,True,2800000000.0
8823,"Nhà mặt phố, nhà mặt tiền",128.0,,10.0,_,20.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,31000000000.0
8824,"Nhà mặt phố, nhà mặt tiền",62.0,,4.0,_,30.0,Sổ hồng/ Sổ đỏ,3.0,True,True,True,True,16500000000.0
8825,"Nhà mặt phố, nhà mặt tiền",158.0,,10.0,_,30.0,Sổ hồng/ Sổ đỏ,6.0,True,True,True,True,44000000000.0
8826,"Nhà mặt phố, nhà mặt tiền",115.0,,6.0,_,40.0,Sổ hồng/ Sổ đỏ,4.0,True,True,True,True,30000000000.0
