ID,FormRE,Province,FloorNum,Area,Height,Width,UsableArea,FrontLength,BackSideLength,Direction,BalconyDirection,Corner,RoadInFront,Juridical,NumOfBed,NumOfFloor,NumOfToilet,ConstructionYear,IsOwner,Furniture,Terrace,CarParking,DinningRoom,Kitchen,AirCond,ADSL,WashingMachine,Balcony,Fridge,Wifi,Pool,Basement,Park,SuperMarket,Clinics,Sea,Hospital,Church,BusStation,School,Temple,Airport,Preschool,Characteristics,Price
948,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,20.0,2.0,nan,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4300000000.0
949,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,17.0,3.5,50.9,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,1.0,nan,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,8200000000.0
950,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,10.2,3.2,90.0,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,3.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,4650000000.0
951,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,30.0,5.0,nan,nan,nan,Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,9000000000.0
952,"Biệt thự, nhà liền kề",Đà Nẵng,nan,nan,18.5,5.0,277.5,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,3.0,3.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7250000000.0
953,"Đất thổ cư, đất ở",Long An,nan,nan,18.0,4.5,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,850000000.0
954,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,12.0,4.0,49.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,2.0,nan,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,5850000000.0
955,"Đất nông, công, lâm nghiệp",Cần Thơ,nan,nan,20.0,5.0,nan,nan,nan,Bắc,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,800000000.0
956,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,5.0,4.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3300000000.0
957,"Nhà mặt phố, nhà mặt tiền",Cần Thơ,nan,nan,18.0,5.0,180.0,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,1.0,3.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,4100000000.0
958,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,16.0,4.2,180.0,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,3.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5600000000.0
959,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,13.0,4.0,nan,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,3600000000.0
960,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,20.0,8.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,9000000000.0
961,"Đất thổ cư, đất ở",Đồng Nai,nan,nan,20.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,800000000.0
962,"Đất thổ cư, đất ở",Bà Rịa - Vũng Tàu,nan,nan,20.0,5.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1400000000.0
963,"Đất thổ cư, đất ở",Long An,nan,nan,52.0,6.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,4100000000.0
964,"Đất thổ cư, đất ở",Đồng Nai,nan,nan,32.0,5.7,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,1100000000.0
965,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,12.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,2250000000.0
966,"Nhà mặt phố, nhà mặt tiền",Bà Rịa - Vũng Tàu,nan,nan,50.0,5.0,256.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,1.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,3250000000.0
967,"Đất nền, đất liền kề, đất dự án",Bình Dương,nan,nan,18.0,4.0,nan,nan,nan,Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1300000.0
968,"Nhà, ngõ, hẻm",Long An,nan,nan,20.0,4.0,81.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1200000000.0
969,"Đất thổ cư, đất ở",Lâm Đồng,nan,nan,25.0,6.0,nan,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3000000000.0
970,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,5.0,4.0,60.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,4.0,3.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3333333333.0
971,"Đất thổ cư, đất ở",Hà Nội,nan,nan,12.5,6.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,890000000.0
972,"Đất nền, đất liền kề, đất dự án",Long An,nan,nan,15.0,5.0,nan,nan,nan,Tây Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,1200000000.0
973,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,14.0,4.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,6800000000.0
974,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,12.0,4.0,68.0,nan,nan,Tây,nan,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1460000000.0
975,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,13.0,7.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3900000000.0
976,"Đất thổ cư, đất ở",Đồng Nai,nan,nan,25.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,3050000000.0
977,"Đất nền, đất liền kề, đất dự án",Lâm Đồng,nan,nan,30.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,600500000.0
978,"Đất thổ cư, đất ở",Đồng Nai,nan,nan,42.0,19.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1200000000.0
979,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,20.0,4.0,201.0,nan,nan,Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,5.0,3.0,5.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9500000000.0
980,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,10.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,140000000.0
981,"Đất thổ cư, đất ở",Đắk Lắk,nan,nan,32.0,5.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1250000000.0
982,"Nhà mặt phố, nhà mặt tiền",Long An,nan,nan,20.0,4.0,80.0,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,1.0,2.0,nan,nan,Bàn giao thô,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1200000000.0
983,"Đất nền, đất liền kề, đất dự án",Quảng Ngãi,nan,nan,20.0,5.0,nan,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6500000.0
984,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,8.0,4.0,96.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,2.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,2700000000.0
985,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,12.0,4.0,96.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,1.0,2.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,800000000.0
986,"Nhà mặt phố, nhà mặt tiền",Đà Nẵng,nan,nan,24.0,5.0,250.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4800000000.0
987,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,12.36,5.2,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2600000000.0
988,"Đất thổ cư, đất ở",Hà Nội,nan,nan,9.0,4.4,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,350000000.0
989,"Đất thổ cư, đất ở",Long An,nan,nan,20.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,950000000.0
990,"Nhà, ngõ, hẻm",Hà Nội,nan,nan,8.5,4.0,34.0,nan,nan,nan,nan,nan,nan,nan,3.0,nan,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3150000000.0
991,"Đất thổ cư, đất ở",Long An,nan,nan,27.8,7.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1200000000.0
992,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,12.5,4.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,5.0,4.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,5800000000.0
993,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,7.5,3.5,66.0,nan,nan,Đông Nam,nan,nan,nan,Giấy tờ hợp lệ,3.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1490000000.0
994,"Đất thổ cư, đất ở",Đắk Lắk,nan,nan,60.0,15.0,nan,nan,nan,Đông Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,130000000.0
995,"Đất thổ cư, đất ở",Bình Dương,nan,nan,30.0,5.0,nan,nan,nan,Tây Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,2500000000.0
996,"Đất thổ cư, đất ở",Bình Phước,nan,nan,100.0,10.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,700000000.0
997,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,12.5,3.75,126.8,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,7.0,4.0,5.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,9590000000.0
998,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,8.0,4.0,61.0,nan,nan,Tây,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,2.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3950000000.0
999,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,13.0,10.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,5.0,nan,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,13700000000.0
1000,"Biệt thự, nhà liền kề",Tp Hồ Chí Minh,nan,nan,13.0,5.0,65.0,nan,nan,Tây Nam,nan,nan,nan,Số đỏ/ Sổ hồng,7.0,5.0,6.0,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,7100000000.0
1001,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,16.0,3.0,102.0,nan,nan,Tây Bắc,nan,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3400000000.0
1002,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,11.0,7.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,5400000000.0
1003,"Đất thổ cư, đất ở",Bình Phước,nan,nan,56.0,50.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2900000000.0
1004,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,12.17,4.6,56.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,3.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1250000000.0
1005,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,10.0,4.5,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,1.0,3.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1630000000.0
1006,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,11.2,4.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,1.0,2.0,nan,nan,Hoàn thiện cơ bản,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1190000000.0
1007,"Biệt thự, nhà liền kề",Tp Hồ Chí Minh,nan,nan,10.0,9.0,206.0,nan,nan,nan,nan,nan,nan,nan,4.0,3.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5950000000.0
1008,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,18.0,3.8,85.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,3.0,5.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,7000000000.0
1009,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,11.0,42.0,90.0,nan,nan,Bắc,nan,nan,nan,nan,2.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1400000000.0
1010,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,20.0,5.0,230.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,4.0,2.0,4.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1500000000.0
1011,"Đất thổ cư, đất ở",Bình Dương,nan,nan,20.0,5.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,620000000.0
1012,"Đất thổ cư, đất ở",Quảng Nam,nan,nan,20.0,5.0,nan,nan,nan,Đông Nam,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,1300000000.0
1013,"Đất thổ cư, đất ở",Long An,nan,nan,18.0,5.8,nan,nan,nan,Bắc,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1350000000.0
1014,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,10.0,4.0,50.0,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,2.0,2.0,2.0,nan,nan,Nội thất đầy đủ,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,3100000000.0
1015,"Đất thổ cư, đất ở",Tp Hồ Chí Minh,nan,nan,52.0,30.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,9000000000.0
1016,"Đất thổ cư, đất ở",Cần Thơ,nan,nan,22.0,4.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,550000000.0
1017,"Nhà mặt phố, nhà mặt tiền",Tp Hồ Chí Minh,nan,nan,20.0,11.0,1100.0,nan,nan,Nam,nan,nan,nan,Số đỏ/ Sổ hồng,10.0,5.0,nan,nan,nan,Nội thất cao cấp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Nở hậu,18900000000.0
1018,"Đất thổ cư, đất ở",Khánh Hòa,nan,nan,70.0,40.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Mặt tiền,4000000000.0
1019,"Đất thổ cư, đất ở",Long An,nan,nan,20.0,7.0,nan,nan,nan,Đông,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1400000000.0
1020,"Nhà, ngõ, hẻm",Tp Hồ Chí Minh,nan,nan,4.2,2.7,12.5,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,1.0,nan,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1500000000.0
1021,"Đất thổ cư, đất ở",Đồng Nai,nan,nan,9.0,6.0,nan,nan,nan,nan,nan,nan,nan,Số đỏ/ Sổ hồng,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Hẻm xe hơi,1600000000.0
